State,Value
Wyoming,15.854263565891474
Wisconsin,16.762878787878783
West Virginia,19.735606060606067
Washington,18.262121212121222
Virginia,16.700757575757567
Vermont,19.661240310077513
Utah,20.08257575757576
Texas,15.328787878787878
Tennessee,17.65984848484848
South Dakota,15.448484848484851
South Carolina,17.06590909090909
Rhode Island,19.604545454545455
Pennsylvania,17.94318181818182
Oregon,19.865909090909092
Oklahoma,18.90909090909091
Ohio,17.649242424242424
North Dakota,16.19307692307692
North Carolina,17.70909090909091
New York,15.891666666666662
New Mexico,16.95530303030303
New Jersey,14.784090909090912
New Hampshire,18.002272727272725
Nevada,14.468939393939394
Nebraska,17.31742424242424
Montana,16.959848484848486
Missouri,18.35833333333332
Mississippi,16.712121212121207
Minnesota,18.08257575757576
Michigan,17.634090909090908
Massachusetts,19.31666666666667
Maryland,16.956818181818182
Maine,19.36212121212121
Louisiana,18.41818181818181
Kentucky,19.39924242424242
Kansas,17.917424242424246
Iowa,18.037121212121214
Indiana,18.278030303030295
Illinois,16.63712121212122
Idaho,17.87651515151515
Hawaii,11.590839694656491
Georgia,16.569696969696977
Florida,15.12272727272727
Delaware,16.509090909090904
Connecticut,17.37727272727273
Colorado,18.28484848484848
California,15.145454545454555
Arkansas,18.710606060606057
Arizona,15.950757575757576
Alaska,15.571212121212126
Alabama,18.059848484848487
